type=NORMAL,id=0,name=root,owner=-1,children=test:275|user:1|MagicBoat:11|lib:280|Chess:27|users:4644|console:44|prototype:52,x=0,y=0,width=100,height=100,scale=0.500000,color=-16777216,value=
type=NORMAL,id=275,name=test,owner=0,children=fib:276|sumtest:4632|testxmpp:4643|addFieldTest:4685|helloWorld:4703|testGetSet:4707|_prototype:4704,x=579,y=375,width=100,height=100,scale=1.000000,color=-16777216,value=
type=NORMAL,id=136,name=boolean,owner=53,children=notEquals:139|equals:138|not:140,x=338,y=110,width=100,height=100,scale=1.000000,color=-16777216,value=
type=NORMAL,id=1,name=user,owner=0,children=age:39|name:40|sayName:46,x=7,y=113,width=100,height=100,scale=1.000000,color=-16777216,value=
type=PROCEDURE,id=139,name=notEquals,owner=136,children=,x=480,y=193,width=100,height=100,scale=1.000000,color=-16777216,value=%5Bnative%3Dtrue%2C+native-class%3Dcom.bluesky.visualprogramming.core.nativeproc._boolean.NotEquals%2C+native-procedure-parameters%3Db%5D
type=PROCEDURE,id=138,name=equals,owner=136,children=,x=309,y=195,width=100,height=100,scale=1.000000,color=-16777216,value=%5Bnative%3Dtrue%2C+native-class%3Dcom.bluesky.visualprogramming.core.nativeproc._boolean.Equals%2C+native-procedure-parameters%3Db%5D
type=PROCEDURE,id=140,name=not,owner=136,children=,x=97,y=198,width=100,height=100,scale=1.000000,color=-16777216,value=%5Bnative%3Dtrue%2C+native-class%3Dcom.bluesky.visualprogramming.core.nativeproc._boolean.Not%2C+native-procedure-parameters%3D%5D
type=PROCEDURE,id=276,name=fib,owner=275,children=,x=515,y=238,width=100,height=100,scale=1.000000,color=-16777216,value=%5Bnative%3Dfalse%2C+language%3Dgoo%5D%0A%0A%0A%0A%0A%0A%0A%0Aprocedure+fib%28%29%0A%7B%0A%09t1+%3D+root.lib.system.now%28%29%3B%0A%09root.console.print%28t1.toString%28%29%29%3B%0A%0A%09n+%3D+20%3B%0A%09fib+%3D+root.lib.math.fibonacci%28n%29%3B%0A%09root.console.print%28fib.toString%28%29%29%3B%0A%0A%09t2+%3D+root.lib.system.now%28%29%3B%0A%09root.console.print%28t2.toString%28%29%29%3B%0A%0A%7D
type=PROCEDURE,id=282,name=fibonacci,owner=281,children=,x=243,y=265,width=100,height=100,scale=1.000000,color=-16777216,value=%5Bnative%3Dfalse%2C+language%3Dgoo%5D%0A%0A%0A%0A%0A%0A%0A%0Aprocedure+fibonacci%28x%29%0A%7B%0A%09%2F%2Froot.console.print%28x.toString%28%29%29%3B%0A%09if%28x.lt%282%29%29%0A%09%7B%0A%09%09if%28x.equals%280%29%29%09%09%0A%09%09%09result%3D0%3B%0A%09%09else%0A%09%09%09result%3D1%3B%09%09%0A%09%7D%09%0A%09else%0A%09%09result+%3D+self.fibonacci%28x.min%281%29%29.plus%28+self.fibonacci%28x.min%282%29%29+%29%3B%09%09%09%0A%7D
type=NORMAL,id=281,name=math,owner=280,children=fibonacci:282|sum:4631,x=217,y=221,width=100,height=100,scale=1.000000,color=-16777216,value=
type=NORMAL,id=11,name=MagicBoat,owner=0,children=IDE:12|RuntimeCommunicationControlLayer:13|ExecuteCore:14|ScriptRepository:15|DB:17|LibRepository:16|Scheduler:19|Controller:18|EclipseIde:21|ReportLog:20|LibDevelopment:22|LibDevelopment3:25|LibDevelopment_2:24|LibDevelopment4:26,x=7,y=5,width=100,height=100,scale=1.000000,color=-16777216,value=
type=NORMAL,id=280,name=lib,owner=0,children=math:281|system:4640,x=230,y=717,width=100,height=100,scale=1.000000,color=-16777216,value=
type=NORMAL,id=12,name=IDE,owner=11,children=,x=39,y=36,width=100,height=100,scale=1.000000,color=-16738048,value=
type=NORMAL,id=13,name=RuntimeCommunicationControlLayer,owner=11,children=,x=38,y=350,width=100,height=100,scale=1.000000,color=-6684826,value=
type=NORMAL,id=14,name=ExecuteCore,owner=11,children=,x=102,y=193,width=100,height=100,scale=1.000000,color=-16738048,value=
type=NORMAL,id=15,name=ScriptRepository,owner=11,children=,x=280,y=33,width=100,height=100,scale=1.000000,color=-16777216,value=
type=NORMAL,id=17,name=DB,owner=11,children=,x=330,y=380,width=100,height=100,scale=1.000000,color=-16777216,value=
type=NORMAL,id=16,name=LibRepository,owner=11,children=,x=374,y=200,width=100,height=100,scale=1.000000,color=-16777216,value=
type=NORMAL,id=19,name=Scheduler,owner=11,children=,x=618,y=202,width=100,height=100,scale=1.000000,color=-39424,value=
type=NORMAL,id=18,name=Controller,owner=11,children=,x=619,y=61,width=100,height=100,scale=1.000000,color=-39424,value=
type=PROCEDURE,id=4631,name=sum,owner=281,children=,x=467,y=265,width=100,height=100,scale=1.000000,color=-16777216,value=%5Bnative%3Dfalse%2C+language%3Dgoo%5D%0A%0A%0A%0A%0A%0A%0A%0Aprocedure+sum%28n%29%0A%7B%0A%09if%28n.equals%281%29%29%0A%09%09result+%3D+1%3B%0A%09else%0A%09%7B%0A%09%09n2+%3D+n.min%281%29%3B%0A%09%09s2+%3D+self.sum%28n2%29%3B%0A%09%09result+%3D+n.plus%28s2%29%3B%0A%09%7D%0A%7D
type=NORMAL,id=21,name=EclipseIde,owner=11,children=,x=862,y=39,width=100,height=100,scale=1.000000,color=-16777216,value=
type=NORMAL,id=20,name=ReportLog,owner=11,children=,x=621,y=353,width=100,height=100,scale=1.000000,color=-39424,value=
type=NORMAL,id=22,name=LibDevelopment,owner=11,children=,x=858,y=195,width=100,height=100,scale=1.000000,color=-16777216,value=
type=NORMAL,id=25,name=LibDevelopment3,owner=11,children=,x=862,y=436,width=100,height=100,scale=1.000000,color=-16777216,value=
type=NORMAL,id=24,name=LibDevelopment_2,owner=11,children=,x=863,y=316,width=100,height=100,scale=1.000000,color=-16777216,value=
type=NORMAL,id=27,name=Chess,owner=0,children=Primary1:29|jiang帅:28|Horse1:31|Primary2:30|Car1:34|Guard1:35|Horse2:32|Car2:33|Guard2:36,x=150,y=7,width=100,height=100,scale=0.750000,color=-16776961,value=
type=NORMAL,id=26,name=LibDevelopment4,owner=11,children=,x=865,y=568,width=100,height=100,scale=1.000000,color=-16777216,value=
type=NORMAL,id=29,name=Primary1,owner=27,children=,x=284,y=165,width=100,height=100,scale=1.000000,color=-10027162,value=
type=PROCEDURE,id=4632,name=sumtest,owner=275,children=,x=549,y=36,width=100,height=100,scale=1.000000,color=-16777216,value=%5Bnative%3Dfalse%2C+language%3Dgoo%5D%0A%0A%0A%0A%0A%0A%0A%0Aprocedure+sumt%28%29%0A%7B%0A%09n+%3D+50%3B%0A%09sum+%3D+root.lib.math.sum%28n%29%3B%0A%09root.console.print%28sum.toString%28%29%29%3B%0A%7D
type=NORMAL,id=28,name=jiang帅,owner=27,children=,x=520,y=165,width=100,height=100,scale=1.000000,color=-52429,value=
type=NORMAL,id=4633,name=float,owner=53,children=lt:4634,x=134,y=257,width=100,height=100,scale=1.000000,color=-13421569,value=
type=NORMAL,id=31,name=Horse1,owner=27,children=,x=148,y=163,width=100,height=100,scale=1.000000,color=-10027162,value=
type=PROCEDURE,id=4634,name=lt,owner=4633,children=,x=234,y=244,width=100,height=100,scale=1.000000,color=-16777216,value=%5Bnative%3Dtrue%2C+native-class%3Dcom.bluesky.visualprogramming.core.nativeproc.float.LessThan%2C+native-procedure-parameters%3Dnum%5D
type=NORMAL,id=30,name=Primary2,owner=27,children=,x=777,y=164,width=100,height=100,scale=1.000000,color=-3355648,value=
type=NORMAL,id=34,name=Car1,owner=27,children=,x=25,y=159,width=100,height=100,scale=1.000000,color=-13369549,value=
type=NORMAL,id=35,name=Guard1,owner=27,children=,x=402,y=162,width=100,height=100,scale=1.000000,color=-10027162,value=
type=NORMAL,id=4646,name=_aliases,owner=4645,children=getonsip_xmpp:4648,x=39,y=64,width=100,height=100,scale=1.000000,color=-16777216,value=
type=NORMAL,id=32,name=Horse2,owner=27,children=,x=901,y=164,width=100,height=100,scale=1.000000,color=-16711834,value=
type=NORMAL,id=4645,name=jack,owner=4644,children=_aliases:4646|talkToJackDing:4654|name:4653|WhatIsYourName:4652|help:4663|location:4683|WhereAreYou:4684|requests:4698|test:4699,x=352,y=288,width=100,height=100,scale=1.000000,color=-16777216,value=
type=NORMAL,id=33,name=Car2,owner=27,children=,x=1038,y=159,width=100,height=100,scale=1.000000,color=-10027162,value=
type=NORMAL,id=4644,name=users,owner=0,children=jack:4645,x=631,y=727,width=100,height=100,scale=1.000000,color=-16777216,value=
